union_type,union_name,union_location,union_members,union_detail_href
IUPAT,PAINTERS Local 487,7111 GOVERNORS CIRCLESACRAMENTO, CA 95823,620,http://www.unions.org/unions/the-international-union-of-painters-and-allied-trades-home/local-487/14652
LIUNA,LABORERS  Local 261,3271 18TH STREETSAN FRANCISCO, CA 941101920,3042,http://www.unions.org/unions/laborers-international-union-of-north-america/local-261/14146
LIUNA,LABORERS  Local 389,300 7TH AVENUESAN MATEO, CA 944014293,996,http://www.unions.org/unions/laborers-international-union-of-north-america/local-389/12800
LIUNA,LABORERS  Local 304,29475 MISSION BLVDHAYWARD, CA 94544,3833,http://www.unions.org/unions/laborers-international-union-of-north-america/local-304/13202
LIUNA,LABORERS  Local 324,611 BERRELLESSA STREETMARTINEZ, CA 945531537,1978,http://www.unions.org/unions/laborers-international-union-of-north-america/local-324/12773
LIUNA,LABORERS,4780 CHABOT DRIVEPLEASANTON, CA 945883322,15,http://www.unions.org/unions/laborers-international-union-of-north-america/local-0/13061
LIUNA,LABORERS  Local 886,8400 ENTERPRISE WAYOAKLAND, CA 94621,347,http://www.unions.org/unions/laborers-international-union-of-north-america/local-886/11636
LIUNA,LABORERS  Local 67,8400 ENTERPRISE WAYOAKLAND, CA 94621,1173,http://www.unions.org/unions/laborers-international-union-of-north-america/local-67/13754
LIUNA,LABORERS  Local 166,8400 ENTERPRISE WAYOAKLAND, CA 94621,308,http://www.unions.org/unions/laborers-international-union-of-north-america/local-166/16077
LIUNA,LABORERS  Local 291,SAN RAFAEL, CA 949134250,708,http://www.unions.org/unions/laborers-international-union-of-north-america/local-291/6880
LIUNA,LABORERS  Local 270,509 EMORY STSAN JOSE, CA 951101890,3296,http://www.unions.org/unions/laborers-international-union-of-north-america/local-270/12921
LIUNA,LABORERS  Local 73,3984 Cherokee RoadStockton, CA 95215,975,http://www.unions.org/unions/laborers-international-union-of-north-america/local-73/13440
LIUNA,LABORERS  Local 1130,MODESTO, CA 95353,945,http://www.unions.org/unions/laborers-international-union-of-north-america/local-1130/12399
LIUNA,LABORERS  Local 185,1320 WEST NATIONAL DRIVESACRAMENTO, CA 95834,4400,http://www.unions.org/unions/laborers-international-union-of-north-america/local-185/11818
MTTD,MARITIME TRADES DEPT,450 HARRISON STSAN FRANCISCO, CA 94105,44,http://www.unions.org/unions/maritime-trades-dept-afl-cio/local-0/2496
NALC,LETTER CARRIERS, NATL ASN, Local 231,4466 W SPAATZFRESNO, CA 937223400,872,http://www.unions.org/unions/national-association-of-letter-carriers/local-231/14071
NALC,LETTER CARRIERS, NATL ASN, Local 1280,BURLINGAME, CA 94011,447,http://www.unions.org/unions/national-association-of-letter-carriers/local-1280/4150
NALC,LETTER CARRIERS, NATL ASN, Local 214,2310 MASON ST. , 3RD FLRSAN FRANCISCO, CA 941331800,2391,http://www.unions.org/unions/national-association-of-letter-carriers/local-214/9343
NALC,LETTER CARRIERS, NATL ASN, Local 1707,HAYWARD, CA 945404122,209,http://www.unions.org/unions/national-association-of-letter-carriers/local-1707/18285
NALC,LETTER CARRIERS, NATL ASN, Local 627,NAPA, CA 945590627,133,http://www.unions.org/unions/national-association-of-letter-carriers/local-627/16034
NALC,LETTER CARRIERS, NATL ASN, Local 1111,402 37TH STREETRICHMOND, CA 948052134,3253,http://www.unions.org/unions/national-association-of-letter-carriers/local-1111/15239
NALC,LETTER CARRIERS, NATL ASN, Local 1427,3350 SCOTT BLVD. #57SANTA CLARA, CA 95054,1329,http://www.unions.org/unions/national-association-of-letter-carriers/local-1427/14007
NALC,LETTER CARRIERS, NATL ASN, Local 857,WATSONVILLE, CA 95076,52,http://www.unions.org/unions/national-association-of-letter-carriers/local-857/15150
NALC,LETTER CARRIERS, NATL ASN, Local 193,P.O. BOX 5721SAN JOSE, CA 95150,1066,http://www.unions.org/unions/national-association-of-letter-carriers/local-193/12110
NALC,LETTER CARRIERS, NATL ASN, Local 4850,PO BOX 822CERES, CA 953070822,14,http://www.unions.org/unions/national-association-of-letter-carriers/local-4850/17331
NALC,LETTER CARRIERS, NATL ASN, Local 4249,MANTECA, CA 953361124,38,http://www.unions.org/unions/national-association-of-letter-carriers/local-4249/18259
NALC,LETTER CARRIERS, NATL ASN, Local 1340,2334 M STMERCEO, CA 953409998,54,http://www.unions.org/unions/national-association-of-letter-carriers/local-1340/16382
NALC,LETTER CARRIERS, NATL ASN, Local 1291,MODESTO, CA 953523559,219,http://www.unions.org/unions/national-association-of-letter-carriers/local-1291/995
NALC,LETTER CARRIERS, NATL ASN, Local 183,888 THIRD STSANTA ROSA, CA 95404,416,http://www.unions.org/unions/national-association-of-letter-carriers/local-183/17769
NALC,LETTER CARRIERS, NATL ASN, Local 3060,AUBURN, CA 956044371,25,http://www.unions.org/unions/national-association-of-letter-carriers/local-3060/12580
NALC,LETTER CARRIERS, NATL ASN, Local 4494,CARMICHAEL, CA 95609,94,http://www.unions.org/unions/national-association-of-letter-carriers/local-4494/1004
NALC,LETTER CARRIERS, NATL ASN, Local 133,6215 WATT AVENORTH HIGHLANDS, CA 956604215,2144,http://www.unions.org/unions/national-association-of-letter-carriers/local-133/12653
NATCA,AIR TRAFFIC CONTROLLERS,T2-6-30SAN FRANCISCO, CA 941282902,37,http://www.unions.org/unions/national-air-traffic-controllers-association/local-0/15413
NATCA,AIR TRAFFIC CONTROLLERS,1909 EMBARCADERO RDPALO ALTO, CA 943033312,7617,http://www.unions.org/unions/national-air-traffic-controllers-association/local-0/14377
NATCA,AIR TRAFFIC CONTROLLERS,201 JOHN GLENN DRCONCORD, CA 94520,10,http://www.unions.org/unions/national-air-traffic-controllers-association/local-0/16752
NATCA,AIR TRAFFIC CONTROLLERS,5125 CENTRAL AVEFREMONT, CA 94536,257,http://www.unions.org/unions/national-air-traffic-controllers-association/local-0/3972
NATCA,AIR TRAFFIC CONTROLLERS,LIVERMORE, CA 945519533,9,http://www.unions.org/unions/national-air-traffic-controllers-association/local-0/5884
NATCA,AIR TRAFFIC CONTROLLERS,4000 AIRPORT RDNAPA, CA 945586237,9,http://www.unions.org/unions/national-air-traffic-controllers-association/local-0/17080
NATCA,AIR TRAFFIC CONTROLLERS,1 AIRPORT DROAKLAND, CA 946211430,24,http://www.unions.org/unions/national-air-traffic-controllers-association/local-0/5918
NATCA,AIR TRAFFIC CONTROLLERS,275 MARTIN AVESANTA CLARA, CA 950504340,17,http://www.unions.org/unions/national-air-traffic-controllers-association/local-0/16725
NATCA,AIR TRAFFIC CONTROLLERS,2204 WAVERLY AVESAN JOSE, CA 951221770,9,http://www.unions.org/unions/national-air-traffic-controllers-association/local-0/5542
NATCA,AIR TRAFFIC CONTROLLERS,7434 S. LINDBERGH ST.STOCKTON, CA 952063914,11,http://www.unions.org/unions/national-air-traffic-controllers-association/local-0/15811
NATCA,AIR TRAFFIC CONTROLLERS,11375 DOUGLAS RD.MATHER, CA 956554008,181,http://www.unions.org/unions/national-air-traffic-controllers-association/local-0/6006
NATCA,AIR TRAFFIC CONTROLLERS,5620 ALAN BOYD DRSACRAMENTO, CA 958371106,15,http://www.unions.org/unions/national-air-traffic-controllers-association/local-0/3203
NFFE,FED EMPL NFFE, DIST 1, IAM, Local 1,4150 CLEMENT STSAN FRANCISCO, CA 94121,342,http://www.unions.org/unions/national-federation-of-federal-employees/local-1/18088
NFFE,FED EMPL NFFE, DIST 1, IAM, Local 1981,1323 CLUB DRIVEVALLEJO, CA 945921110,15,http://www.unions.org/unions/national-federation-of-federal-employees/local-1981/12546
NFFE,FED EMPL NFFE, DIST 1, IAM, Local 2195,19777 GREENLEY ROADSONORA, CA 95370,21,http://www.unions.org/unions/national-federation-of-federal-employees/local-2195/5737
NPMHU,POSTAL MAIL HANDLERS, LIUNA  Local 302,5901 Christie AveEmeryville, CA 94608,5418,http://www.unions.org/unions/national-postal-mail-handlers-union/local-302/14602
NTEU,TREASURY EMPLOYEES UNION Local 295,SAN FRANCISCO, CA 941194212,89,http://www.unions.org/unions/national-treasury-employees-union/local-295/6351
NTEU,TREASURY EMPLOYEES UNION Local 81,201 N. CIVIC DRIVE, #220WALNUT CREEK, CA 945963880,85,http://www.unions.org/unions/national-treasury-employees-union/local-81/14591
NTEU,TREASURY EMPLOYEES UNION Local 20,1301 CLAY ST SUITE 1610 SOAKLAND, CA 94612,711,http://www.unions.org/unions/national-treasury-employees-union/local-20/4919
NTEU,TREASURY EMPLOYEES UNION Local 238,55 S MARKET STREETSAN JOSE, CA 95113,225,http://www.unions.org/unions/national-treasury-employees-union/local-238/1485
NTEU,TREASURY EMPLOYEES UNION Local 239,4330 WATT AVESACRAMENTO, CA 958217012,377,http://www.unions.org/unions/national-treasury-employees-union/local-239/11211
OPCMIA,PLASTERERS & CEMENT MASONS Local 66,150 EXECUTIVE PARK BLVD.SAN FRANCISCO, CA 94134,548,http://www.unions.org/unions/operative-plasterers'-and-cement-masons'-international-association/local-66/12959
OPCMIA,PLASTERERS & CEMENT MASONS Local 300,8400 Enterprise Way, #111Oakland, CA 94621,2041,http://www.unions.org/unions/operative-plasterers'-and-cement-masons'-international-association/local-300/13963
OPCMIA,PLASTERERS & CEMENT MASONS Local 400,810 W. STADUIM LANESACRAMENTO, CA 958341131,2015,http://www.unions.org/unions/operative-plasterers'-and-cement-masons'-international-association/local-400/14014
OPEIU,OFFICE & PROFESSIONAL EMPLS Local 3,1050 SOUTH VAN NESS AVE 201SAN FRANCISCO, CA 941102616,1704,http://www.unions.org/unions/office-and-professional-employees-international-union/local-3/7736
OPEIU,OFFICE & PROFESSIONAL EMPLS Local 29,1321 Harbor Bay ParkwayAlameda, CA 94502,3995,http://www.unions.org/unions/office-and-professional-employees-international-union/local-29/12401
PACE,PACE,,1311 PINE STMARTINEZ, CA 945530034,1075,http://www.unions.org/unions/paper,-allied-industrial,-chemical,-and-energy-workers/local-0/18103
PPF/UA,PLUMBERS Local 467,1519 ROLLINS RDBURLINGAME, CA 94010,1231,http://www.unions.org/unions/plumbers-and-pipe-fitters-union/local-467/10417
PPF/UA,PLUMBERS Local 38,1621 MARKET STSAN FRANCISCO, CA 94103,2083,http://www.unions.org/unions/plumbers-and-pipe-fitters-union/local-38/10892
PPF/UA,PLUMBERS Local 342,935 DETROIT AVENUECONCORD, CA 94518,3021,http://www.unions.org/unions/plumbers-and-pipe-fitters-union/local-342/12367
PPF/UA,PLUMBERS Local 483,2525 BARRINGTON COURTHAYWARD, CA 94545,944,http://www.unions.org/unions/plumbers-and-pipe-fitters-union/local-483/10721
PPF/UA,PLUMBERS Local 159,1308 ROMAN WAYMARTINEZ, CA 94553,594,http://www.unions.org/unions/plumbers-and-pipe-fitters-union/local-159/11492
PPF/UA,PLUMBERS Local 343,401 NEBRASKA STREETVALLEJO, CA 94590,583,http://www.unions.org/unions/plumbers-and-pipe-fitters-union/local-343/7422
PPF/UA,PLUMBERS Local 355,13 TENNESSEE STREETVALLEJO, CA 945904335,279,http://www.unions.org/unions/plumbers-and-pipe-fitters-union/local-355/7414
PPF/UA,PLUMBERS Local 62,11445 COMMERCIAL PKYCASTROVILLE, CA 950123201,276,http://www.unions.org/unions/plumbers-and-pipe-fitters-union/local-62/13482
PPF/UA,PLUMBERS Local 393,SAN JOSE, CA 95123,2619,http://www.unions.org/unions/plumbers-and-pipe-fitters-union/local-393/13218
PPF/UA,PLUMBERS Local 36,4842 NUTCRACKER LANEMODESTO, CA 95356,1928,http://www.unions.org/unions/plumbers-and-pipe-fitters-union/local-36/12798
PPF/UA,PLUMBERS Local 442,4842 NUTCRACKER LANEMODESTO, CA 95356,664,http://www.unions.org/unions/plumbers-and-pipe-fitters-union/local-442/13976
PPF/UA,PLUMBERS Local 447,5841 NEWMAN COURTSACRAMENTO, CA 958192607,1377,http://www.unions.org/unions/plumbers-and-pipe-fitters-union/local-447/13571
PPF/UA,PLUMBERS Local 228,1246 Putman Ave.Yuba City, CA 95991,370,http://www.unions.org/unions/plumbers-and-pipe-fitters-union/local-228/11861
RLCA,LETTER CARRIERS, RURAL,,CLOVIS, CA 936130003,199,http://www.unions.org/unions/national-rural-letters-carrier's-association/local-0/786
RLCA,LETTER CARRIERS, RURAL, Local 12,3652 CONCORD AVENUEBRENTWOOD, CA 945134508,181,http://www.unions.org/unions/national-rural-letters-carrier's-association/local-12/4788
RLCA,LETTER CARRIERS, RURAL,,2289 S HOLLENBECK RDSTOCKTON, CA 952159722,144,http://www.unions.org/unions/national-rural-letters-carrier's-association/local-0/714
RLCA,LETTER CARRIERS, RURAL,,431 CHAFFEE LNWATERFORD, CA 953869407,194,http://www.unions.org/unions/national-rural-letters-carrier's-association/local-0/7373
RLCA,LETTER CARRIERS, RURAL,,580 RALSTON LANENEW CASTLE, CA 956589603,520,http://www.unions.org/unions/national-rural-letters-carrier's-association/local-0/7320
RLCA,LETTER CARRIERS, RURAL, Local 7,1070 JOHNATHAN DRYUBA CITY, CA 959938112,184,http://www.unions.org/unions/national-rural-letters-carrier's-association/local-7/7676
RWAW,ROOFERS Local 40,150 EXECUTIVE PARK BLVDSAN FRANCISCO, CA 941343309,361,http://www.unions.org/unions/united-union-of-roofers,-waterproofers-and-allied-workers/local-40/11781
RWAW,ROOFERS Local 81,8400 ENTERPRISE WAYOAKLAND, CA 94621,894,http://www.unions.org/unions/united-union-of-roofers,-waterproofers-and-allied-workers/local-81/12299
RWAW,ROOFERS Local 95,2330A Walsh Ave.SANTA CLARA, CA 950504335,419,http://www.unions.org/unions/united-union-of-roofers,-waterproofers-and-allied-workers/local-95/13543
SEIU,SERVICE EMPLOYEES Local 87,240 GOLDEN GATE AVENUESAN FRANCISCO, CA 941023716,3198,http://www.unions.org/unions/service-employees-international-union/local-87/11821
SEIU,SERVICE EMPLOYEES Local 2007,STANFORD, CA 94309,969,http://www.unions.org/unions/service-employees-international-union/local-2007/14032
SIUNA,SEAFARERS,240 SECOND STREETSAN FRANCISCO, CA 94105,655,http://www.unions.org/unions/seafarers-international-union-of-north-america/local-0/11101
SIUNA,SEAFARERS,450 HARRISON STREET, ROOM 108SAN FRANCISCO, CA 941052640,598,http://www.unions.org/unions/seafarers-international-union-of-north-america/local-0/11808
SIUNA,SEAFARERS Local 1,641 LORING AVECROCKETT, CA 94525,304,http://www.unions.org/unions/seafarers-international-union-of-north-america/local-1/13601
SMW,SHEET METAL WORKERS Local 104,2610 CROW CANYON RD. #300SAN RAMON, CA 94583,6437,http://www.unions.org/unions/sheet-metal-workers-international-association/local-104/11776
SMW,SHEET METAL WORKERS Local 162,2840 EL CENTRO ROAD # 110SACRAMENTO, CA 95833,2650,http://www.unions.org/unions/sheet-metal-workers-international-association/local-162/7631
TCU,TRANSPORTATION COMM UNION Local 6510,6817 CASTLEBERRY CIRCLECITRUS HEIGHTS, CA 956210160,197,http://www.unions.org/unions/transportation-communications-international-union/local-6510/2541
TCU,TRANSPORTATION COMM UNION Local 555,LINCOLN, CA 956482468,292,http://www.unions.org/unions/transportation-communications-international-union/local-555/11756
TWU,TRANSPORT WORKERS Local 505,1521 ROLLINSBURLINGAME, CA 940102305,390,http://www.unions.org/unions/transit-workers-union/local-505/5617
TWU,TRANSPORT WORKERS Local 250,1508 FILLMORE ST  SUITE 211SAN FRANCISCO, CA 941153597,2201,http://www.unions.org/unions/transit-workers-union/local-250/13015
UAW,AUTO WORKERS,45201 FREMONT BLVD.FREMONT, CA 94538,4000,http://www.unions.org/unions/united-auto-workers/local-0/16205
UAW,AUTO WORKERS Local 76,45201 FREMONT BLVD.FREMONT, CA 945380000,412,http://www.unions.org/unions/united-auto-workers/local-76/13613
UAW,AUTO WORKERS Local 2244,45201 FREMONT BLVDFREMONT, CA 945386317,3607,http://www.unions.org/unions/united-auto-workers/local-2244/13473
UFCW,FOOD & COMMERCIAL WKRS Local 101,SOUTH SAN FRANCISCO, CA 940803721,6814,http://www.unions.org/unions/united-food-and-commercial-workers/local-101/12201
UFCW,FOOD & COMMERCIAL WKRS Local 648,1980 MISSION STREETSAN FRANCISCO, CA 941033489,3962,http://www.unions.org/unions/united-food-and-commercial-workers/local-648/7442
UFCW,FOOD & COMMERCIAL WKRS Local 181,504 EAST CHURCHILL STREETSTOCKTON, CA 952042217,5,http://www.unions.org/unions/united-food-and-commercial-workers/local-181/1658
UFCW,FOOD & COMMERCIAL WKRS Local 186,329 DOWNEYMODESTO, CA 953541203,1685,http://www.unions.org/unions/united-food-and-commercial-workers/local-186/13923
USW,STEELWORKERS Local 555,1209 W FOUNTAIN WAYFresno, CA 93705,72,http://www.unions.org/unions/united-steel-workers/local-555/9876
USW,STEELWORKERS Local 336,37835 Niles BlvdFremont, CA 94536,167,http://www.unions.org/unions/united-steel-workers/local-336/4941
USW,STEELWORKERS Local 5,1333 PINE ST STE AMARTINEZ, CA 945530034,1618,http://www.unions.org/unions/united-steel-workers/local-5/13184
USW,STEELWORKERS Local 1440,677 CUMBERLAND ST.PITTSBURG, CA 94565,558,http://www.unions.org/unions/united-steel-workers/local-1440/5503
USW,STEELWORKERS Local 2571,251 PEBBLE BEACH LOOPPITTSBURG, CA 945652325,50,http://www.unions.org/unions/united-steel-workers/local-2571/14915
USW,STEELWORKERS Local 326,432 1st StRodeo, CA 94572,285,http://www.unions.org/unions/united-steel-workers/local-326/1993
USW,STEELWORKERS Local 1304,433 CALLAN AVESAN LEANDRO, CA 945774641,186,http://www.unions.org/unions/united-steel-workers/local-1304/18656
USW,STEELWORKERS Local 418G,P.O. Box 342Lathrop, CA 95330,332,http://www.unions.org/unions/united-steel-workers/local-418g/17387
USW,STEELWORKERS Local 418G,LATHROP, CA 953300342,120,http://www.unions.org/unions/united-steel-workers/local-418g/5331
USW,STEELWORKERS Local 18,12094 WASHINGTON RDWATERFORD, CA 95386,65,http://www.unions.org/unions/united-steel-workers/local-18/5287
USW,STEELWORKERS Local 565,10075 TAVERNOR ROADWILTON, CA 95693,300,http://www.unions.org/unions/united-steel-workers/local-565/15122
